Quantity,Component Category,Item Name / Model,Est. Price (USD),Purchase Link,Notes,Buy,Have,MAYBE,Verified,Model,,Budget Summary,,,Expendables,Link,Count
1,Flight Controller,CubePilot Cube Orange+,$279.00,https://www.getfpv.com/cubepilot-the-cube-orange.html,Primary flight controller & autopilot,TRUE,FALSE,FALSE,TRUE,TRUE,,Total Estimate,"$6,057.29",,Micro-Hdmi Cables,https://www.amazon.com/UCEC-11-81-Coiled-Cameras-Monitors,2
1,Flight Controller(Alternate),CubePilot Cube Orange+,$235.00,ebay.com/used,,TRUE,FALSE,FALSE,TRUE,TRUE,,Total Paid (Have),"$5,039.06",,XT-60 Splitter,https://www.amazon.com/Splitter-Female-Harness-Adapter-Cable,1
1,Companion Computer,Raspberry Pi 5 - 8gb,$175.00,https://www.canakit.com/raspberry-pi-5-8gb.html ,High-level vision processing & MAVLink control,FALSE,TRUE,FALSE,TRUE,TRUE,,Total Left (Buy),$909.23,,,,
1,Pi Front Camera Module,Sony IMX708,$34.95,https://www.canakit.com/raspberry-pi-camera-module-3.html?cid=cad&src=raspberrypi,Low-latency FPV / target tracking camera,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,Pi Down Camera Module,Arducam 5MP OV5647,$28.99,https://www.arducam.com/arducam-ultra-wide-angle-fisheye-5mp-ov5647-camera-for-raspberry-pi.html,220HFOV for Downward Facing Cam Detection,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,Streaming Cam Front,Go-Pro Hero 6,$199.51,https://www.walmart.com/ip/GoPro-HERO6-Black-4K-Action-Video-Camera,135FOV for streaming to controller,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,
1,Streaming Cam Down,SJCAM SJ4000 ,$55.99,https://www.amazon.com/SJCAM-Waterproof-Underwater-Snorkeling-Camcorder/dp/B09GB1LN8V?th=1,170HFOV for streamign to controller,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,Air Unit / Telemetry,CubePilot HereLink HD Air Unit V1.1,$851.58,https://www.readymaderc.com/products/details/proficnc-herelink-air-unit?,HD video & MAVLink control link,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,
1,GPS / Compass,Micro M10 GPS,$27.99,https://holybro.com/products/micro-m10-gps?variant=42981482922173,High-precision DroneCAN GPS/Mag - With Case and IST8310,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,Main Battery,OVONIC 4S LiPo Battery 14.8V 6500mAh ,$55.99,https://www.amazon.com/OVONIC-Battery-6500mAh,14.8V main power supply (NOTE: This is a 2-pack),TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
3,Electronics Battery,3S 5000mAh 50C LiPo,$37.99,https://hrb-power.com/products/11-1v-5000mah-6000mah-50c-trx,Battery to power Auton Electronic Components,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,
1,Power Distribution Board,Matek Systems PDB XT60 W,$0.99,https://www.aliexpress.us/item,PDB for battery to ESC Transfer ,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
4,ESC/s,BLHeli_S Series ESC 80A,$14.39,https://www.aliexpress.us/item,"Used to turn the Brushless motors, Rated for 80+ Amps ONLY",TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
4,Brushless Motors,Skywalker 2820 SL motor -- 1000KV,$39.99,https://www.hobbywingdirect.com/products/,Quadcopter propulsion motors - ≤1000KV ONLY,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,Switch,XT60 Anti-Spark Electronic Switch ,$9.17,https://www.aliexpress.us/item,ONLY FOR AUTON ELECTRONICS,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,
1,Power Module,Cube Power Brick Mini,$34.00,https://nwblue.com/products/power-brick-mini,Current sensing & Cube power input,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,XT60 Splitter + USB,STRIX XT60 Power Hub with USB,$8.39,https://www.aircraftpaintmasks.com/product/strix-xt60-power-hub-with-usb/,For Splitting xt60 and for usb power,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,
1,XT60 USB converter,IFlight PD100W Adapter,$21.73,https://www.aliexpress.us/item,For stable power to Go-Pro and Rpi-5,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,
1,XT60 USB converter,XT60 Plug to USB 5V Charger Converter Module Adapter,$9.99,https://www.amazon.com/Acxico-Lithium,Power Source for SJ4k,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,
1,Voltage Regulators,MATEK BEC12S-PRO ,$14.08,https://www.aliexpress.us/item,Clean voltage step-down for Herelink HD Air Unit,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,Ground Station,CubePilot HereLink Controller,"$3,699.00",https://irlock.com/collections/herelink ,Ground control transmitter & HD receiver,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,
1,Propellers CCW,HQProp 12x4.5 CCW Propeller 2 PCS,$7.60,HQProp 12x4.5 CCW Propeller (2 pcs) for RC Aircraft - RMRC,HQProp 12x4.5 CCW Propeller 2 PCS -- 12in heavy lift,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,Propellers CW,HQProp 12x4.5 CW Pusher Propeller 2PCS,$3.80,HQProp 12x4.5 CW Pusher Propeller 2PCS – Precision - RMRC,HQProp 12x4.5 CW Propeller 2 PCS -- 12in heavy lift,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
1,Lock Nuts,Uxcell Nylon Insert Hex Lock Nuts,$6.60,https://www.harfington.com/products/,For Bushless motor threads so the props dont fall of in flight,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,
